Z1 , Z2,Z1+Z2
(8.07+2.49j),(0.73+6.58j),(8.8+9.07j)
(9.3+2.72j),(5.44+8.78j),(14.740000000000002+11.5j)
(9.23+7.09j),(4.4+1.65j),(13.63+8.74j)
(4.92+0.42j),(9.87+5.03j),(14.79+5.45j)
(3.27+7.29j),(8.4+6.12j),(11.67+13.41j)
(3.03+1.69j),(7.09+1.57j),(10.12+3.26j)
(5.6+9.33j),(0.99+2.78j),(6.59+12.11j)
(8.16+3.35j),(0.97+8.26j),(9.13+11.61j)
(5.12+2.67j),(8.1+6.33j),(13.219999999999999+9j)
(9.79+1.49j),(5.79+8.21j),(15.579999999999998+9.700000000000001j)
(9.67+6.72j),(3.93+3.36j),(13.6+10.08j)
(4.85+7.45j),(2.28+0.91j),(7.129999999999999+8.36j)
(1.94+3.57j),(0.01+1.53j),(1.95+5.1j)
(7.08+9.44j),(6.68+4.9j),(13.76+14.34j)
(1.24+1.96j),(5.3+9.03j),(6.54+10.989999999999998j)
(7.22+6.66j),(5.49+0.24j),(12.71+6.9j)
(8.01+8.53j),(9.77+4.08j),(17.78+12.61j)
(2.28+9.33j),(2.98+9.81j),(5.26+19.14j)
(6.35+0.13j),(8.65+8.14j),(15+8.270000000000001j)
(0.63+5.36j),(4.25+6.69j),(4.88+12.05j)
(1.15+0.94j),(6.29+5.01j),(7.4399999999999995+5.949999999999999j)
(5.17+1.95j),(1.05+4.04j),(6.22+5.99j)
(4.51+2.98j),(1.88+1.23j),(6.39+4.21j)
(5.05+8.82j),(7.52+5.66j),(12.57+14.48j)
(7.16+3.37j),(4.38+1.44j),(11.54+4.8100000000000005j)
(5.01+8.97j),(8.71+8.28j),(13.72+17.25j)
(1.37+3.58j),(1.77+3.97j),(3.14+7.550000000000001j)
(2.94+9.04j),(6.09+2.31j),(9.03+11.35j)
(7.45+1.75j),(6.35+2.98j),(13.8+4.73j)
(1.42+3.99j),(9.68+4.12j),(11.1+8.11j)
(2.6+5.57j),(5.94+0.08j),(8.540000000000001+5.65j)
(3.95+9.68j),(1.13+5.3j),(5.08+14.98j)
(0.06+9.62j),(9.42+3.65j),(9.48+13.27j)
(0.82+8.52j),(7.67+8.21j),(8.49+16.73j)
(6.95+7.12j),(6.71+9.01j),(13.66+16.13j)
(5.9+8.31j),(7.38+0.57j),(13.280000000000001+8.88j)
(6.16+7.9j),(6.4+6.79j),(12.56+14.690000000000001j)
(3.35+0.06j),(9.72+0.98j),(13.07+1.04j)
(0.95+3.19j),(4.54+2.23j),(5.49+5.42j)
(2.89+7.6j),(9.05+1.26j),(11.940000000000001+8.86j)
(1.23+5.06j),(8.13+7.7j),(9.360000000000001+12.76j)
(2.38+0.94j),(2.2+8.44j),(4.58+9.379999999999999j)
